axiom	refc	conf	expt	poss	nec	time
"SubClassOf(dbo:ArchitecturalStructure dbo:Agent)"	134983	708	93161	0.049208553666513444	0.0	16294419
"SubClassOf(dbo:ArchitecturalStructure dbo:Airport)"	134983	12687	122232	0.0044716978164028864	0.0	4965686
"SubClassOf(dbo:ArchitecturalStructure dbo:Bridge)"	134983	3259	131663	3.0251973814388045E-4	0.0	1595080
"SubClassOf(dbo:ArchitecturalStructure dbo:Broadcaster)"	134983	1	89912	0.057391959618884214	0.0	43153988
"SubClassOf(dbo:ArchitecturalStructure dbo:Building)"	134983	67620	67311	0.13474800985159208	0.0	15180239
"SubClassOf(dbo:ArchitecturalStructure dbo:Castle)"	134983	816	93110	0.049331757554955225	0.0	419605
"SubClassOf(dbo:ArchitecturalStructure dbo:EducationalInstitution)"	134983	708	93161	0.049208553666513444	0.0	13759494
"SubClassOf(dbo:ArchitecturalStructure dbo:HistoricBuilding)"	134983	5072	88797	0.06035887930691286	0.0	2583142
"SubClassOf(dbo:ArchitecturalStructure dbo:Hospital)"	134983	2328	91541	0.0532035894410513	0.0	1262534
"SubClassOf(dbo:ArchitecturalStructure dbo:Hotel)"	134983	1045	92881	0.04988701604625878	0.0	541261
"SubClassOf(dbo:ArchitecturalStructure dbo:Infrastructure)"	134983	65555	69376	0.1260628699335007	0.0	11587016
"SubClassOf(dbo:ArchitecturalStructure dbo:LaunchPad)"	134983	83	134848	5.001260747761194E-7	0.0	93456
"SubClassOf(dbo:ArchitecturalStructure dbo:Library)"	134983	708	93174	0.04917717531947563	0.0	392359
"SubClassOf(dbo:ArchitecturalStructure dbo:Lighthouse)"	134983	1471	92455	0.05092887449973993	0.0	766618
"SubClassOf(dbo:ArchitecturalStructure dbo:MilitaryStructure)"	134983	3320	90562	0.055700005100769445	0.0	1828795
"SubClassOf(dbo:ArchitecturalStructure dbo:Museum)"	134983	3957	89912	0.057391959618884214	0.0	2166223
"SubClassOf(dbo:ArchitecturalStructure dbo:Organisation)"	134983	708	93161	0.049208553666513444	0.0	16072791
"SubClassOf(dbo:ArchitecturalStructure dbo:Park)"	134983	1756	133175	8.970738241731446E-5	0.0	1205104
"SubClassOf(dbo:ArchitecturalStructure dbo:Person)"	134983	1	130907	4.5601511345794155E-4	0.0	28578067
"SubClassOf(dbo:ArchitecturalStructure dbo:Place)"	134983	134981	0	1.0	0.9999999998902329	53023
"SubClassOf(dbo:ArchitecturalStructure dbo:PopulatedPlace)"	134983	2	100247	0.033678041743274156	0.0	68706106
"SubClassOf(dbo:ArchitecturalStructure dbo:PowerStation)"	134983	2481	132450	1.760842328469847E-4	0.0	1365836
"SubClassOf(dbo:ArchitecturalStructure dbo:Prison)"	134983	740	93129	0.04928583865148717	0.0	392594
"SubClassOf(dbo:ArchitecturalStructure dbo:PublicTransitSystem)"	134983	1437	133482	6.182820847400183E-5	0.0	691734
"SubClassOf(dbo:ArchitecturalStructure dbo:RailwayLine)"	134983	4012	130907	4.5601511345794155E-4	0.0	1917257
"SubClassOf(dbo:ArchitecturalStructure dbo:RailwayStation)"	134983	4315	111655	0.015046885215713068	0.0	1954287
"SubClassOf(dbo:ArchitecturalStructure dbo:RailwayTunnel)"	134983	109	134775	1.1872407096324977E-6	0.0	85115
"SubClassOf(dbo:ArchitecturalStructure dbo:ReligiousBuilding)"	134983	2609	91260	0.05391376645735846	0.0	1468736
"SubClassOf(dbo:ArchitecturalStructure dbo:Restaurant)"	134983	623	93303	0.04886639017425065	0.0	337830
"SubClassOf(dbo:ArchitecturalStructure dbo:Road)"	134983	17890	117029	0.008885216050748213	0.0	5665008
"SubClassOf(dbo:ArchitecturalStructure dbo:RoadJunction)"	134983	120	134802	8.990196764813163E-7	0.0	81968
"SubClassOf(dbo:ArchitecturalStructure dbo:RoadTunnel)"	134983	132	134752	1.4643204577780011E-6	0.0	93580
"SubClassOf(dbo:ArchitecturalStructure dbo:RouteOfTransportation)"	134983	27027	95216	0.04438164565703817	0.0	7429381
"SubClassOf(dbo:ArchitecturalStructure dbo:Settlement)"	134983	2	117029	0.008885216050748213	0.0	69370737
"SubClassOf(dbo:ArchitecturalStructure dbo:ShoppingMall)"	134983	2244	91638	0.05295962546071009	0.0	1215859
"SubClassOf(dbo:ArchitecturalStructure dbo:Skyscraper)"	134983	2	93924	0.04738512045860743	0.0	41262
"SubClassOf(dbo:ArchitecturalStructure dbo:Station)"	134983	23276	111655	0.015046885215713068	0.0	7748075
"SubClassOf(dbo:ArchitecturalStructure dbo:TelevisionStation)"	134983	1	89912	0.057391959618884214	0.0	13711032
"SubClassOf(dbo:ArchitecturalStructure dbo:Theatre)"	134983	981	92259	0.05141213836573111	0.0	511257
"SubClassOf(dbo:ArchitecturalStructure dbo:Tunnel)"	134983	298	134624	3.5367268317321177E-6	0.0	160736
"SubClassOf(dbo:ArchitecturalStructure dbo:Venue)"	134983	1623	92259	0.05141213836573111	0.0	869543
"SubClassOf(dbo:ArchitecturalStructure dbo:WaterwayTunnel)"	134983	19	134865	3.820990427394477E-7	0.0	47899
"SubClassOf(dbo:ArchitecturalStructure schema:Airport)"	134983	12687	122232	0.0044716978164028864	0.0	4947410
"SubClassOf(dbo:ArchitecturalStructure schema:EducationalOrganization)"	134983	708	93161	0.049208553666513444	0.0	13721178
"SubClassOf(dbo:ArchitecturalStructure schema:Hospital)"	134983	2328	91541	0.0532035894410513	0.0	1272287
"SubClassOf(dbo:ArchitecturalStructure schema:Hotel)"	134983	1045	92881	0.04988701604625878	0.0	551586
"SubClassOf(dbo:ArchitecturalStructure schema:LandmarksOrHistoricalBuildings)"	134983	5072	88797	0.06035887930691286	0.0	6343309
"SubClassOf(dbo:ArchitecturalStructure schema:Library)"	134983	708	93174	0.04917717531947563	0.0	381121
"SubClassOf(dbo:ArchitecturalStructure schema:Museum)"	134983	3957	89912	0.057391959618884214	0.0	2271170
"SubClassOf(dbo:ArchitecturalStructure schema:Organization)"	134983	708	93161	0.049208553666513444	0.0	17105409
"SubClassOf(dbo:ArchitecturalStructure schema:Park)"	134983	1756	133175	8.970738241731446E-5	0.0	1394997
"SubClassOf(dbo:ArchitecturalStructure schema:Person)"	134983	1	130907	4.5601511345794155E-4	0.0	30577303
"SubClassOf(dbo:ArchitecturalStructure schema:Place)"	134983	134981	0	1.0	0.9999999998902329	59892
